"",Palestine,to,in,...,Palestinian,of,for,the,Israel,on,and,Israeli,The,a,with,at,2016,Palestine:,by,is,UN,Palestinians,Israel-Palestine,New,East,from,Palestine's,after,"Palestine,",over,A,as,Gaza,peace,Texas,West,says,US,In,Bank,killed,Is,Abbas,"Israel,",Today,Peace,support,Israel's,-,be,against,State,will,To,Week,visit,not,new,calls,Sushma,de,state,,flooding,into,President,How,Jerusalem,about,France,Why,'Palestine',conflict,man,World,Jewish,Of,Arab,Israeli-Palestinian,la,EU,talks,Swaraj,This,2015,up,With,Palestine',French,From,After,:,4,arrested,rights,Hamas,team,Greek,Solidarity,On
support,0,92,8,27,0,20,18,8,0,8,6,0,1,0,6,0,1,0,0,3,0,0,0,2,0,0,0,2,0,2,0,7,0,0,0,0,4,3,0,3,0,0,0,0,0,0,129,0,4,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Israel's,0,5,3,6,0,3,4,2,0,4,4,0,1,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,0,270,190,163,0,89,74,122,0,72,41,4,41,43,14,25,61,0,46,42,2,0,0,10,0,17,0,7,0,7,10,41,0,0,0,4,8,34,9,11,0,8,0,0,0,0,4,0,888,15,3,2,28,4,0,0,33,9,0,0,0,5,1,0,4,5,8,0,7,8,2,0,0,0,9,0,4,0,0,0,30,2,0,4,14,30,4,0,5,4,2,14,7,0,1,0,0,3,0,8
be,0,297,108,205,0,71,142,176,0,45,27,0,28,89,18,14,20,0,44,25,8,0,0,6,0,16,0,10,0,21,7,20,0,0,0,1,60,27,3,9,0,1,0,0,1,0,0,1,15,706,4,4,93,1,0,0,32,17,2,0,0,4,16,0,7,0,5,0,16,1,26,0,0,1,6,0,0,0,0,0,39,1,0,10,2,5,0,0,1,0,0,2,1,0,2,0,0,0,0,0
against,0,14,7,29,0,8,7,8,0,5,3,0,4,1,2,0,1,0,2,5,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,4,73,0,2,0,0,0,3,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,0,25,42,43,0,97,8,74,0,18,5,1,32,4,1,5,2,0,1,4,0,0,0,3,0,1,0,0,0,1,3,4,0,0,0,1,4,12,5,0,0,3,0,0,0,0,0,0,2,4,0,200,1,5,0,0,0,0,1,0,0,2,2,0,0,4,2,0,1,0,2,0,0,0,1,0,20,1,0,0,0,1,0,2,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,4
will,0,109,133,237,0,63,62,229,0,47,68,1,26,62,12,8,46,0,21,13,0,0,0,10,2,19,0,12,0,10,9,12,0,1,1,0,95,29,3,25,0,0,0,0,0,0,3,1,28,93,2,1,834,0,0,0,40,18,0,0,1,7,28,0,10,3,39,0,3,6,14,0,0,1,4,0,0,0,0,0,21,1,0,7,5,8,0,0,1,0,3,0,5,0,0,0,0,2,0,0
To,0,13,11,137,0,6,0,28,0,5,3,0,121,2,0,6,4,0,0,6,1,0,0,10,1,0,0,0,0,1,31,1,0,0,0,0,0,23,37,2,0,28,0,0,0,1,0,0,4,1,0,5,0,451,0,0,0,0,0,0,0,0,2,0,0,7,20,0,0,2,8,0,0,0,4,0,22,0,0,0,8,0,0,8,1,0,8,0,1,9,2,0,3,0,0,0,0,1,0,18
Week,0,34,12,14,0,7,8,39,0,4,3,0,4,7,1,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,8,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
visit,0,9,4,3,0,3,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not,0,110,72,154,0,60,59,143,0,55,31,0,27,51,11,12,8,0,21,86,2,0,0,0,0,6,0,8,0,3,4,31,0,0,0,0,53,29,0,4,0,1,0,0,0,0,1,0,33,32,3,0,40,0,0,0,562,4,0,0,2,1,22,0,5,3,2,0,18,1,15,0,0,0,1,0,0,0,0,0,7,0,0,4,3,6,0,0,7,0,0,1,3,0,1,0,0,0,0,0
new,0,153,100,120,0,59,87,102,0,45,33,0,28,62,18,6,5,0,7,29,1,0,0,4,1,7,0,1,0,7,15,38,0,0,0,0,42,11,2,5,0,3,0,0,0,0,0,0,9,17,0,0,18,0,0,0,4,503,2,0,0,2,5,0,5,3,6,0,6,0,5,0,0,1,5,0,0,0,0,0,3,0,0,3,1,13,3,0,0,0,1,2,0,0,0,0,2,1,0,0
calls,0,40,8,27,0,21,68,6,0,13,1,0,2,4,4,4,1,0,1,0,4,0,0,2,0,0,0,1,0,3,0,5,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,2,95,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sushma,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de,0,2,1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
state,0,48,33,55,0,87,16,45,0,21,10,0,18,8,4,11,1,0,2,16,0,0,0,2,0,4,0,1,0,8,2,9,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,7,0,0,0,1,2,1,0,0,209,3,0,1,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,137,86,125,1,67,36,105,1,32,59,0,40,46,13,13,18,0,15,52,3,0,0,4,1,10,0,1,0,4,5,10,0,2,0,0,2,30,2,11,0,6,0,0,0,1,1,3,1,16,5,2,28,2,1,0,22,5,1,0,1,3,471,0,4,1,15,0,4,0,7,0,0,0,6,0,1,0,0,0,7,0,0,4,7,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0
flooding,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
into,0,55,18,73,0,15,10,67,0,9,14,0,6,12,6,4,14,0,4,12,0,0,0,5,1,8,0,0,0,7,2,8,0,0,0,0,9,7,0,1,0,5,0,0,0,0,0,0,4,7,0,0,10,0,0,1,5,5,1,0,1,1,4,0,296,0,2,0,4,4,4,0,0,0,2,0,0,0,0,0,5,0,0,2,1,2,0,0,1,4,0,0,0,0,0,0,0,1,0,0
President,0,38,10,42,0,13,16,35,0,20,2,0,8,15,3,2,2,0,4,5,0,0,0,6,0,1,0,0,0,2,5,7,0,0,0,0,5,9,2,1,0,6,0,0,0,0,0,0,5,0,0,4,3,7,0,0,3,3,0,0,0,0,1,0,0,139,3,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,2
How,0,154,78,168,1,54,22,459,1,28,52,0,79,75,10,3,11,0,9,59,0,0,0,9,0,14,0,2,0,2,11,9,0,0,0,0,1,44,16,2,0,78,0,0,0,0,1,2,8,5,0,2,39,20,4,0,2,6,0,0,0,2,15,0,2,3,727,0,5,0,3,0,0,1,15,0,6,0,0,0,4,0,0,7,3,15,4,0,1,7,1,0,0,0,0,0,0,1,0,7
Jerusalem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
about,0,83,49,136,0,41,23,280,0,20,58,0,28,24,7,7,8,0,4,44,0,0,0,8,1,8,0,11,0,3,5,25,0,0,1,1,28,43,4,7,0,2,0,0,0,0,0,0,7,16,0,1,3,0,0,1,18,6,0,0,0,5,4,0,4,1,5,0,669,0,14,0,0,0,2,0,0,0,0,0,2,3,0,7,1,5,0,0,1,0,0,1,1,1,1,0,0,2,0,1
France,0,24,16,14,0,8,3,3,0,7,2,0,4,0,3,0,4,0,2,1,0,0,0,1,0,2,0,1,0,2,1,21,0,0,0,0,8,1,1,4,0,0,0,0,0,0,0,0,8,1,0,0,6,2,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,82,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
Why,0,51,48,102,0,51,81,301,0,32,24,0,68,83,3,2,8,0,3,88,0,0,0,4,0,4,0,1,0,3,13,5,0,0,0,1,1,40,8,3,0,64,0,0,0,0,0,2,2,26,1,2,14,8,1,0,15,5,0,0,0,3,7,1,4,2,3,0,14,0,500,0,0,0,5,0,4,0,0,0,3,0,0,4,2,3,3,0,1,2,1,0,0,0,0,0,0,0,0,0
'Palestine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conflict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,0,9,4,6,0,7,1,5,0,2,1,0,4,1,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,0,85,85,61,8,75,61,79,8,29,15,0,31,21,10,9,20,0,7,10,4,0,0,1,1,3,0,0,0,6,2,15,0,0,0,0,11,15,6,132,0,15,0,0,0,0,2,0,9,6,0,1,4,4,0,1,1,5,0,0,1,0,6,0,2,1,15,0,2,1,5,0,0,0,394,0,3,1,0,0,1,6,0,1,4,2,3,0,0,0,4,0,0,0,0,0,0,0,0,1
Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Of,0,0,1,83,0,0,2,4,0,0,2,0,162,0,0,1,6,0,0,1,0,0,0,4,0,1,0,0,0,0,29,0,0,0,0,0,0,11,34,10,0,16,0,0,0,0,0,0,4,0,0,20,0,22,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,4,0,0,0,3,0,229,0,0,0,0,0,0,2,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,20
Arab,0,3,2,2,1,1,0,1,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israeli-Palestinian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU,0,123,44,99,0,55,71,58,0,59,34,0,13,17,8,4,2,0,21,17,0,0,0,1,2,24,0,4,0,9,3,24,0,0,0,0,36,3,2,12,0,3,0,0,0,1,14,0,30,39,7,0,21,8,1,0,7,3,4,0,0,0,7,0,5,1,4,0,2,1,3,0,0,0,1,0,0,0,0,0,442,11,0,1,0,3,1,0,3,12,1,1,5,0,0,0,0,2,0,0
talks,0,37,20,25,0,18,11,14,0,30,8,0,1,4,18,10,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,4,0,2,1,0,1,6,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,11,103,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Swaraj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This,0,64,30,56,0,21,24,133,0,7,17,0,18,18,1,0,2,0,1,52,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,1,3,23,5,2,0,33,0,0,0,0,0,0,4,10,1,2,7,8,28,0,4,3,0,0,0,1,4,0,2,0,7,0,7,0,4,0,0,0,1,0,2,0,0,0,1,0,0,223,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0
2015,0,55,305,40,0,85,38,34,0,21,20,3,19,22,14,39,11,0,37,0,0,0,0,2,0,4,0,2,0,1,6,17,0,0,0,1,15,15,14,2,2,5,0,0,0,0,0,0,14,2,0,2,5,1,0,0,3,1,0,0,0,5,7,0,1,0,3,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,423,17,5,0,3,2,1,1,7,0,0,0,0,1,0,0
up,0,242,125,94,0,43,54,67,0,43,26,0,9,29,17,11,8,0,27,14,4,0,0,6,0,7,0,8,0,9,0,62,0,0,0,0,20,34,2,3,1,0,0,0,0,0,1,0,30,5,0,1,8,0,0,0,6,13,4,0,0,1,6,0,2,0,15,0,5,0,3,0,0,1,2,0,0,0,0,0,3,4,0,1,17,536,1,0,9,0,0,0,1,0,0,0,3,2,0,0
With,0,34,25,70,0,11,7,29,0,29,10,0,24,17,1,8,1,0,0,4,0,0,0,6,0,0,0,0,0,0,13,11,0,0,0,0,0,22,16,3,0,6,0,0,0,2,0,0,4,0,0,3,0,8,1,0,0,3,0,0,1,0,2,0,0,5,4,0,0,0,3,0,0,0,3,0,5,0,0,0,1,0,0,4,5,1,208,0,0,4,0,0,0,0,0,0,0,1,0,8
Palestine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,0,35,31,28,0,14,7,17,0,17,3,0,4,3,6,10,3,0,10,6,0,0,0,0,0,4,0,1,0,1,0,13,0,0,0,0,12,3,0,2,0,3,0,0,0,0,1,0,5,1,0,0,1,1,0,0,7,0,0,0,2,0,0,0,1,3,1,0,1,2,1,0,0,0,0,0,1,0,0,0,3,0,0,2,3,9,0,0,172,3,5,1,0,0,0,0,0,0,0,2
From,0,63,11,58,1,9,6,40,1,5,8,0,18,10,2,1,3,0,1,2,1,0,0,4,0,1,0,0,0,0,2,7,0,0,0,0,0,11,3,1,0,7,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,4,1,7,0,0,0,2,0,0,0,0,0,3,0,0,0,12,0,0,1,2,0,4,0,3,168,0,0,0,0,0,0,0,2,0,1
After,0,32,17,37,0,13,16,17,0,10,10,0,5,7,1,2,1,0,0,1,0,0,0,2,0,1,0,0,0,0,3,4,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,2,0,0,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,144,0,0,0,0,0,0,2,0,0
:,0,11,4,6,0,10,6,7,0,3,1,0,3,1,0,0,1,0,1,1,1,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,38,0,0,0,0,0,0,0,0
4,0,33,31,13,0,7,9,18,0,10,7,0,6,5,7,2,4,0,12,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,9,2,0,2,1,0,0,0,0,0,0,7,1,0,1,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,1,0,0,0,0,0,0,94,0,0,0,0,0,0,1
arrested,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rights,0,1,3,4,0,2,0,2,0,2,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Hamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
team,0,4,1,0,0,3,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Greek,0,20,70,27,0,12,7,18,0,12,5,1,1,3,0,0,13,0,6,4,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,10,0,1,2,0,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,0,0,2,2,0,0,0,0,0,0,133,0,0
Solidarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On,0,6,4,64,0,6,0,14,0,1,4,0,86,4,0,0,1,0,0,2,0,0,0,5,2,0,0,0,0,0,16,2,0,0,0,0,2,13,19,0,0,15,0,0,1,0,0,0,8,0,0,4,0,18,0,0,0,0,0,0,0,1,0,0,0,2,7,0,1,1,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,1,0,0,0,0,0,0,206
